2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-10-06/23:16:30		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-10-06/23:16:31		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-10-06/23:16:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-10-06/23:16:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-10-06/23:16:33		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-10-06/23:16:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-10-06/23:16:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-10-06/23:16:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-10-06/23:16:36		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-10-06/23:19:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-10-06/23:19:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-10-06/23:19:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-10-06/23:19:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-10-06/23:19:26		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-10-06/23:19:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-10-06/23:19:29		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-10-06/23:19:30		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-10-06/23:19:31		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-10-06/23:22:47		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-10-06/23:22:48		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-10-06/23:22:48		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-10-06/23:22:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-10-06/23:22:50		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-10-06/23:22:50		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-10-06/23:22:52		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-10-06/23:22:53		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-10-06/23:22:53		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-10-07/11:14:36		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-10-07/11:14:37		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-10-07/11:14:37		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-10-07/11:14:38		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-10-07/11:14:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-10-07/11:14:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-10-07/11:14:40		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-10-07/11:14:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-10-07/11:14:42		 wafer_29012020_050617.csv: File Transformed successfully!!
