,columns,missing values count
0,Sensor - 1,10
1,Sensor - 2,30
2,Sensor - 3,130
3,Sensor - 4,130
4,Sensor - 5,130
5,Sensor - 6,130
6,Sensor - 7,130
7,Sensor - 8,80
8,Sensor - 9,20
9,Sensor - 10,20
10,Sensor - 11,20
11,Sensor - 12,20
12,Sensor - 13,20
13,Sensor - 14,30
14,Sensor - 15,30
15,Sensor - 16,30
16,Sensor - 17,30
17,Sensor - 18,30
18,Sensor - 19,30
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,10
22,Sensor - 23,10
23,Sensor - 24,10
24,Sensor - 25,10
25,Sensor - 26,10
26,Sensor - 27,10
27,Sensor - 28,10
28,Sensor - 29,10
29,Sensor - 30,10
30,Sensor - 31,10
31,Sensor - 32,10
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,140
41,Sensor - 42,140
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,10
54,Sensor - 55,10
55,Sensor - 56,10
56,Sensor - 57,10
57,Sensor - 58,10
58,Sensor - 59,10
59,Sensor - 60,50
60,Sensor - 61,50
61,Sensor - 62,50
62,Sensor - 63,50
63,Sensor - 64,50
64,Sensor - 65,50
65,Sensor - 66,50
66,Sensor - 67,50
67,Sensor - 68,50
68,Sensor - 69,50
69,Sensor - 70,50
70,Sensor - 71,50
71,Sensor - 72,50
72,Sensor - 73,5300
73,Sensor - 74,5300
74,Sensor - 75,50
75,Sensor - 76,240
76,Sensor - 77,240
77,Sensor - 78,240
78,Sensor - 79,240
79,Sensor - 80,240
80,Sensor - 81,240
81,Sensor - 82,240
82,Sensor - 83,240
83,Sensor - 84,10
84,Sensor - 85,20
85,Sensor - 86,6110
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,510
90,Sensor - 91,510
91,Sensor - 92,50
92,Sensor - 93,20
93,Sensor - 94,20
94,Sensor - 95,50
95,Sensor - 96,50
96,Sensor - 97,50
97,Sensor - 98,50
98,Sensor - 99,50
99,Sensor - 100,50
100,Sensor - 101,50
101,Sensor - 102,50
102,Sensor - 103,50
103,Sensor - 104,20
104,Sensor - 105,20
105,Sensor - 106,50
106,Sensor - 107,50
107,Sensor - 108,50
108,Sensor - 109,50
109,Sensor - 110,2880
110,Sensor - 111,2880
111,Sensor - 112,2880
112,Sensor - 113,5570
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,240
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,30
122,Sensor - 123,30
123,Sensor - 124,30
124,Sensor - 125,30
125,Sensor - 126,30
126,Sensor - 127,30
127,Sensor - 128,30
128,Sensor - 129,30
129,Sensor - 130,30
130,Sensor - 131,30
131,Sensor - 132,30
132,Sensor - 133,30
133,Sensor - 134,30
134,Sensor - 135,30
135,Sensor - 136,0
136,Sensor - 137,10
137,Sensor - 138,30
138,Sensor - 139,130
139,Sensor - 140,130
140,Sensor - 141,130
141,Sensor - 142,130
142,Sensor - 143,130
143,Sensor - 144,80
144,Sensor - 145,20
145,Sensor - 146,20
146,Sensor - 147,20
147,Sensor - 148,20
148,Sensor - 149,20
149,Sensor - 150,30
150,Sensor - 151,30
151,Sensor - 152,30
152,Sensor - 153,30
153,Sensor - 154,30
154,Sensor - 155,30
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,7710
158,Sensor - 159,7710
159,Sensor - 160,10
